method,dataset,NDKL_Value,ULOSS_Value,WULOSS_Value
AVG,Electronics,0.03757006777496283,0.0,0.0
EPIRA-Break,Electronics,0.029325352340609546,0.0,0.0
EPIRA-Full,Electronics,0.025950605430269152,0.958641039611966,0.9222873900293255
Epsilon-Break,Electronics,0.04103197926905934,0.0,0.0
Epsilon-Full,Electronics,0.038382392311256446,0.8070248412453458,0.6982404692082111
Fair-Break,Electronics,0.013949776259094429,0.0,0.0
Fair-Full,Electronics,0.005618825031098574,0.877253239910233,0.7844574780058651
FairMC,Electronics,0.15840178655668066,0.8080656469210163,0.718475073313783
VanillaMC,Electronics,0.04702355669157193,0.0,0.0
Worst,Electronics,0.21051997723263485,0.0,0.0
