method,dataset,NDKL_Value,ULOSS_Value,WULOSS_Value
AVG,HR,0.2771847294668925,0.0,1.1102230246251565e-16
EPIRA-Break,HR,0.2710774696258093,0.0,1.1102230246251565e-16
EPIRA-Full,HR,0.26981216977687333,0.6250924483178141,0.6993197278911565
Epsilon-Break,HR,0.27709044344563705,0.0,1.1102230246251565e-16
Epsilon-Full,HR,0.33615207375287137,0.6772488674601184,0.6073469387755102
Fair-Break,HR,0.22253652491232043,0.0,1.1102230246251565e-16
Fair-Full,HR,0.10874074930497621,0.8410783281448971,0.7813605442176871
FairMC,HR,0.33073519395368917,0.7534144073283745,0.6952380952380952
VanillaMC,HR,0.28236469638102013,0.0,1.1102230246251565e-16
Worst,HR,0.4181763661884975,0.0,1.1102230246251565e-16
