method,dataset,NDKL_Value,ULOSS_Value,WULOSS_Value
AVG,Modcloth,0.19293360888239486,0.0,0.0
EPIRA-Break,Modcloth,0.1912161948591687,0.0,0.0
EPIRA-Full,Modcloth,0.2406885340648252,0.9043812774289526,0.8652037617554859
Epsilon-Break,Modcloth,0.18614014575546006,0.0,0.0
Epsilon-Full,Modcloth,0.218851286985784,0.7747287199237143,0.6545454545454545
Fair-Break,Modcloth,0.1385862214202058,0.0,0.0
Fair-Full,Modcloth,0.060811436114630954,0.880362674849329,0.8152560083594567
FairMC,Modcloth,0.17778093548975393,0.5059923250171063,0.6530825496342738
VanillaMC,Modcloth,0.1916512392180077,0.0,0.0
Worst,Modcloth,0.30194071513154,0.0,0.0
