method,dataset,NDKL_Value,ULOSS_Value,WULOSS_Value,TIE_PROP,NOT_TIE_PROP,GFR
AVG,skewed_groups,0.4826029492624594,0.0,1.1102230246251565e-16,0.0,1.0,35.00385317267997
Worst,skewed_groups,0.4826029492624594,0.0,1.1102230246251565e-16,0.0,1.0,35.00385317267997
Fair-Break,skewed_groups,0.4826029492624594,0.0,1.1102230246251565e-16,0.0,1.0,35.00385317267997
Fair-Full,skewed_groups,0.0,0.99,0.99,0.0,1.0,35.00385317267997
VanillaMC,skewed_groups,0.4826029492624594,0.0,1.1102230246251565e-16,0.0,1.0,35.00385317267997
FairMC,skewed_groups,0.14226102700842297,0.88,0.88,0.0,1.0,35.00385317267997
EPIRA-Break,skewed_groups,0.4826029492624594,0.0,1.1102230246251565e-16,0.0,1.0,35.00385317267997
EPIRA-Full,skewed_groups,0.2317451881683128,0.55,0.5499999999999999,0.0,1.0,35.00385317267997
Epsilon-Break,skewed_groups,0.4826029492624594,0.0,1.1102230246251565e-16,0.0,1.0,35.00385317267997
Epsilon-Full,skewed_groups,0.16026595221408227,0.75,0.75,0.0,1.0,35.00385317267997
AVG,skewed_groups,0.4826029492624594,0.0,1.1102230246251565e-16,0.1,0.9,31.884697939470872
Worst,skewed_groups,0.4826029492624594,0.0,1.1102230246251565e-16,0.1,0.9,31.884697939470872
Fair-Break,skewed_groups,0.4826029492624594,0.0,1.1102230246251565e-16,0.1,0.9,31.884697939470872
Fair-Full,skewed_groups,0.0,0.9868131868131869,0.97,0.1,0.9,31.884697939470872
VanillaMC,skewed_groups,0.4826029492624594,0.0,1.1102230246251565e-16,0.1,0.9,31.884697939470872
FairMC,skewed_groups,0.17078982227645484,0.8681318681318682,0.88,0.1,0.9,31.884697939470872
EPIRA-Break,skewed_groups,0.4826029492624594,0.0,1.1102230246251565e-16,0.1,0.9,31.884697939470872
EPIRA-Full,skewed_groups,0.2317451881683128,0.4989010989010989,0.49,0.1,0.9,31.884697939470872
Epsilon-Break,skewed_groups,0.4826029492624594,0.0,1.1102230246251565e-16,0.1,0.9,31.884697939470872
Epsilon-Full,skewed_groups,0.16026595221408227,0.7538461538461538,0.74,0.1,0.9,31.884697939470872
AVG,skewed_groups,0.4826029492624594,0.0,0.0,0.2,0.8,28.41896990257186
Worst,skewed_groups,0.4826029492624594,0.0,0.0,0.2,0.8,28.41896990257186
Fair-Break,skewed_groups,0.4826029492624594,0.0,0.0,0.2,0.8,28.41896990257186
Fair-Full,skewed_groups,0.0,0.9950617283950617,0.9199999999999999,0.2,0.8,28.41896990257186
VanillaMC,skewed_groups,0.4826029492624594,0.0,0.0,0.2,0.8,28.41896990257186
