method,dataset,NDKL_Value,ULOSS_Value,TIE_BLOCKS,TIE_TYPE,WULOSS_Value,GFR
AVG,skewed_groups,0.4637402290376874,0.0,1,Interleaved,0.0,28.068118422293196
Worst,skewed_groups,0.4826029492624594,0.0,1,Interleaved,0.0,28.068118422293196
Fair-Break,skewed_groups,0.45652346576585984,0.0,1,Interleaved,0.0,28.068118422293196
Fair-Full,skewed_groups,0.008436852467590529,0.987037037037037,1,Interleaved,0.98,28.068118422293196
VanillaMC,skewed_groups,0.4409047108919633,0.0,1,Interleaved,0.0,28.068118422293196
FairMC,skewed_groups,0.17322277115161744,0.7901234567901234,1,Interleaved,0.8300000000000001,28.068118422293196
EPIRA-Break,skewed_groups,0.46178401669958535,0.0,1,Interleaved,0.0,28.068118422293196
EPIRA-Full,skewed_groups,0.22322637949904475,0.49629629629629635,1,Interleaved,0.43999999999999995,28.068118422293196
Epsilon-Break,skewed_groups,0.4616724576240706,0.0,1,Interleaved,0.0,28.068118422293196
Epsilon-Full,skewed_groups,0.16770721697293173,0.7339506172839506,1,Interleaved,0.6799999999999999,28.068118422293196
AVG,skewed_groups,0.4826029492624594,0.0,2,Interleaved,0.0,21.834086632463748
Worst,skewed_groups,0.4826029492624594,0.0,2,Interleaved,0.0,21.834086632463748
Fair-Break,skewed_groups,0.4826029492624594,0.0,2,Interleaved,0.0,21.834086632463748
Fair-Full,skewed_groups,0.0,0.9766129032258064,2,Interleaved,0.9,21.834086632463748
VanillaMC,skewed_groups,0.4826029492624594,0.0,2,Interleaved,0.0,21.834086632463748
FairMC,skewed_groups,0.143775232800709,0.8064516129032258,2,Interleaved,0.88,21.834086632463748
EPIRA-Break,skewed_groups,0.4826029492624594,0.0,2,Interleaved,0.0,21.834086632463748
EPIRA-Full,skewed_groups,0.2317451881683128,0.5685483870967742,2,Interleaved,0.3999999999999999,21.834086632463748
Epsilon-Break,skewed_groups,0.4826029492624594,0.0,2,Interleaved,0.0,21.834086632463748
Epsilon-Full,skewed_groups,0.16026595221408227,0.775,2,Interleaved,0.6799999999999999,21.834086632463748
AVG,skewed_groups,0.45830983011942655,0.0,3,Interleaved,0.0,14.894570726021781
Worst,skewed_groups,0.4826029492624594,0.0,3,Interleaved,0.0,14.894570726021781
Fair-Break,skewed_groups,0.45652346576585984,0.0,3,Interleaved,0.0,14.894570726021781
Fair-Full,skewed_groups,0.008436852467590529,0.9651162790697675,3,Interleaved,0.89,14.894570726021781
VanillaMC,skewed_groups,0.4641732421439144,0.0,3,Interleaved,0.0,14.894570726021781
FairMC,skewed_groups,0.178875575422322,0.7511627906976744,3,Interleaved,0.76,14.894570726021781
EPIRA-Break,skewed_groups,0.45635361778132444,0.0,3,Interleaved,0.0,14.894570726021781
EPIRA-Full,skewed_groups,0.22322637949904475,0.4744186046511628,3,Interleaved,0.28,14.894570726021781
Epsilon-Break,skewed_groups,0.4550435191351832,0.0,3,Interleaved,0.0,14.894570726021781
Epsilon-Full,skewed_groups,0.16295557241167774,0.7988372093023256,3,Interleaved,0.6,14.894570726021781
AVG,skewed_groups,0.4826029492624594,0.0,4,Interleaved,0.0,8.664320092247518
Worst,skewed_groups,0.4826029492624594,0.0,4,Interleaved,0.0,8.664320092247518
Fair-Break,skewed_groups,0.4826029492624594,0.0,4,Interleaved,0.0,8.664320092247518
Fair-Full,skewed_groups,0.0,0.95625,4,Interleaved,0.79,8.664320092247518
VanillaMC,skewed_groups,0.4826029492624594,0.0,4,Interleaved,0.0,8.664320092247518
FairMC,skewed_groups,0.10078343307913179,0.7958333333333333,4,Interleaved,0.78,8.664320092247518
EPIRA-Break,skewed_groups,0.4826029492624594,0.0,4,Interleaved,0.0,8.664320092247518
EPIRA-Full,skewed_groups,0.2317451881683128,0.5249999999999999,4,Interleaved,0.23999999999999988,8.664320092247518
Epsilon-Break,skewed_groups,0.4826029492624594,0.0,4,Interleaved,0.0,8.664320092247518
Epsilon-Full,skewed_groups,0.16026595221408227,0.675,4,Interleaved,0.58,8.664320092247518
AVG,skewed_groups,0.4537788582778748,0.0,5,Interleaved,0.0,2.081941005060066
Worst,skewed_groups,0.4826029492624594,0.0,5,Interleaved,0.0,2.081941005060066
Fair-Break,skewed_groups,0.447945311654925,0.0,5,Interleaved,0.0,2.081941005060066
Fair-Full,skewed_groups,0.013223368758367462,0.8394736842105263,5,Interleaved,0.81,2.081941005060066
VanillaMC,skewed_groups,0.44503422767507084,0.0,5,Interleaved,0.0,2.081941005060066
FairMC,skewed_groups,0.16314225756897274,0.5789473684210527,5,Interleaved,0.69,2.081941005060066
EPIRA-Break,skewed_groups,0.4537788582778748,0.0,5,Interleaved,0.0,2.081941005060066
EPIRA-Full,skewed_groups,0.22553315298407645,0.10175438596491226,5,Interleaved,0.11999999999999988,2.081941005060066
Epsilon-Break,skewed_groups,0.44942531466011293,0.0,5,Interleaved,0.0,2.081941005060066
Epsilon-Full,skewed_groups,0.17214230410514084,0.5614035087719298,5,Interleaved,0.48,2.081941005060066
AVG,skewed_groups,0.4826029492624594,0.0,1,Top,0.0,28.41896990257186
Worst,skewed_groups,0.4826029492624594,0.0,1,Top,0.0,28.41896990257186
Fair-Break,skewed_groups,0.4826029492624594,0.0,1,Top,0.0,28.41896990257186
Fair-Full,skewed_groups,0.0,0.9950617283950617,1,Top,0.9199999999999999,28.41896990257186
VanillaMC,skewed_groups,0.4826029492624594,0.0,1,Top,0.0,28.41896990257186
FairMC,skewed_groups,0.20050518006120133,0.8475308641975309,1,Top,0.81,28.41896990257186
EPIRA-Break,skewed_groups,0.4826029492624594,0.0,1,Top,0.0,28.41896990257186
EPIRA-Full,skewed_groups,0.2317451881683128,0.4345679012345679,1,Top,0.3899999999999999,28.41896990257186
Epsilon-Break,skewed_groups,0.4826029492624594,0.0,1,Top,0.0,28.41896990257186
Epsilon-Full,skewed_groups,0.16026595221408227,0.745679012345679,1,Top,0.6799999999999999,28.41896990257186
AVG,skewed_groups,0.4826029492624594,0.0,2,Top,0.0,21.834086632463748
Worst,skewed_groups,0.4826029492624594,0.0,2,Top,0.0,21.834086632463748
Fair-Break,skewed_groups,0.4826029492624594,0.0,2,Top,0.0,21.834086632463748
Fair-Full,skewed_groups,0.0,0.9903225806451613,2,Top,0.88,21.834086632463748
VanillaMC,skewed_groups,0.4826029492624594,0.0,2,Top,0.0,21.834086632463748
FairMC,skewed_groups,0.2017059573622411,0.8008064516129032,2,Top,0.81,21.834086632463748
EPIRA-Break,skewed_groups,0.4826029492624594,0.0,2,Top,0.0,21.834086632463748
EPIRA-Full,skewed_groups,0.2317451881683128,0.24919354838709684,2,Top,0.23999999999999988,21.834086632463748
Epsilon-Break,skewed_groups,0.4826029492624594,0.0,2,Top,0.0,21.834086632463748
Epsilon-Full,skewed_groups,0.16026595221408227,0.7725806451612903,2,Top,0.65,21.834086632463748
AVG,skewed_groups,0.4637402290376874,0.0,3,Top,0.0,15.200844366491925
Worst,skewed_groups,0.4826029492624594,0.0,3,Top,0.0,15.200844366491925
Fair-Break,skewed_groups,0.45652346576585984,0.0,3,Top,0.0,15.200844366491925
Fair-Full,skewed_groups,0.008436852467590529,0.9895348837209302,3,Top,0.91,15.200844366491925
VanillaMC,skewed_groups,0.47170657349780754,0.0,3,Top,0.0,15.200844366491925
FairMC,skewed_groups,0.1781074791116889,0.5930232558139534,3,Top,0.73,15.200844366491925
EPIRA-Break,skewed_groups,0.46178401669958535,0.0,3,Top,0.0,15.200844366491925
EPIRA-Full,skewed_groups,0.22322637949904475,0.013953488372093203,3,Top,0.11999999999999988,15.200844366491925
Epsilon-Break,skewed_groups,0.4616724576240706,0.0,3,Top,0.0,15.200844366491925
Epsilon-Full,skewed_groups,0.16770721697293173,0.7523255813953489,3,Top,0.58,15.200844366491925
AVG,skewed_groups,0.45929923086489116,0.0,4,Top,0.0,8.577676891325043
Worst,skewed_groups,0.4826029492624594,0.0,4,Top,0.0,8.577676891325043
Fair-Break,skewed_groups,0.45652346576585984,0.0,4,Top,0.0,8.577676891325043
Fair-Full,skewed_groups,0.008436852467590529,0.9770833333333333,4,Top,0.89,8.577676891325043
VanillaMC,skewed_groups,0.4474246830208724,0.0,4,Top,0.0,8.577676891325043
FairMC,skewed_groups,0.17564452177120035,0.27083333333333337,4,Top,0.73,8.577676891325043
EPIRA-Break,skewed_groups,0.45734301852678916,0.0,4,Top,0.0,8.577676891325043
EPIRA-Full,skewed_groups,0.22322637949904475,0.02499999999999991,4,Top,0.12,8.577676891325043
Epsilon-Break,skewed_groups,0.4587350261120437,0.0,4,Top,0.0,8.577676891325043
Epsilon-Full,skewed_groups,0.17268924597738894,0.7458333333333333,4,Top,0.5399999999999999,8.577676891325043
AVG,skewed_groups,0.4571981126595195,0.0,5,Top,0.0,1.6635494577115235
Worst,skewed_groups,0.4826029492624594,0.0,5,Top,0.0,1.6635494577115235
Fair-Break,skewed_groups,0.45652346576585984,0.0,5,Top,0.0,1.6635494577115235
Fair-Full,skewed_groups,0.008436852467590529,0.84,5,Top,0.84,1.6635494577115235
VanillaMC,skewed_groups,0.4709932158204606,0.0,5,Top,0.0,1.6635494577115235
FairMC,skewed_groups,0.17666625941461694,0.7,5,Top,0.7,1.6635494577115235
EPIRA-Break,skewed_groups,0.4552419003214175,0.0,5,Top,0.0,1.6635494577115235
