method,dataset,NDKL_Value,ULOSS_Value,WULOSS_Value
AVG,XWines,0.6396755401310504,0.0,0.0
EPIRA-Break,XWines,0.6467483847481882,0.0,0.0
EPIRA-Full,XWines,0.5560369418614161,0.968059238709363,0.938643702906351
Epsilon-Break,XWines,0.6572232137812619,0.0,0.0
Epsilon-Full,XWines,0.5706250540216369,0.7642734210242851,0.7067814854682454
Fair-Break,XWines,0.5924866182417605,0.0,0.0
Fair-Full,XWines,0.17477823281422877,0.9328631727621648,0.9216361679224974
FairMC,XWines,0.3588137857394605,0.9832251082251082,0.9720129171151776
VanillaMC,XWines,0.6375913522476642,0.0,0.0
Worst,XWines,0.7028625698896389,0.0,0.0
